revision_condition_id,n_rows,n_valid_revision_rows,parse_invalid_rate,perm_n_wrong_before,perm_n_correct_before,perm_n_ambiguous_before,perm_error_correction_rate,perm_harmful_flip_rate,perm_net_correction_gain,intent_n_wrong_before,intent_n_correct_before,intent_n_ambiguous_before,intent_error_correction_rate,intent_harmful_flip_rate,intent_net_correction_gain,over_revision_rate,perm_distance_improved_rate,perm_distance_worsened_rate,perm_distance_first_mean,perm_distance_final_mean,perm_distance_net_improvement_rate,perm_distance_mean_delta,intent_distance_improved_rate,intent_distance_worsened_rate,intent_distance_first_mean,intent_distance_final_mean,intent_distance_net_improvement_rate,intent_distance_mean_delta
christian_examen,80,80,0.0,0,42,38,0.0,0.0,0.0,0,6,74,0.0,0.0,0.0,0.65,0.3,0.1,0.47557522500000005,0.3443546250000001,0.19999999999999998,-0.13122059999999997,0.5375,0.025,1.03795055,0.606753475,0.5125,-0.43119707499999993
christian_identity_only,80,80,0.0,0,42,38,0.0,0.09523809523809523,-0.09523809523809523,0,6,74,0.0,0.0,0.0,0.9875,0.1,0.5,0.47557522500000005,0.933466275,-0.4,0.45789104999999997,0.55,0.05,1.03795055,0.6655126,0.5,-0.3724379499999999
generic_reconsider,80,80,0.0,0,42,38,0.0,0.11904761904761904,-0.11904761904761904,0,6,74,0.0,0.0,0.0,1.0,0.075,0.65,0.47557522500000005,1.0982696,-0.5750000000000001,0.622694375,0.525,0.05,1.03795055,0.6905126,0.47500000000000003,-0.3474379499999999
matched_secular_reflective,80,80,0.0,0,42,38,0.0,0.0,0.0,0,6,74,0.0,0.0,0.0,1.0,0.2125,0.3,0.47557522500000005,0.5909408500000001,-0.0875,0.11536562500000003,0.75,0.05,1.03795055,0.470013375,0.7,-0.567937175
moral_checklist,80,80,0.0,0,42,38,0.0,0.09523809523809523,-0.09523809523809523,0,6,74,0.0,0.0,0.0,1.0,0.0625,0.65,0.47557522500000005,1.110096725,-0.5875,0.6345215,0.45,0.125,1.03795055,0.809143825,0.325,-0.22880672499999988
secular_self_examination,80,80,0.0,0,42,38,0.0,0.0,0.0,0,6,74,0.0,0.0,0.0,0.9125,0.0625,0.7125,0.47557522500000005,1.1107696,-0.65,0.635194375,0.3875,0.1375,1.03795055,0.8707051,0.25,-0.1672454499999999
