revision_condition_id,n_items,perm_distance_mean_delta,perm_distance_ci_low,perm_distance_ci_high,intent_distance_mean_delta,intent_distance_ci_low,intent_distance_ci_high,over_revision_rate
christian_examen,80,-0.1312206,-0.2416455,-0.020346349999999968,-0.43119707500000004,-0.5397727500000001,-0.32482825000000004,0.65
christian_identity_only,80,0.45789105,0.31125542500000003,0.6068488000000001,-0.37243795,-0.481801775,-0.26287172499999995,0.9875
generic_reconsider,80,0.622694375,0.4815477,0.7609543000000001,-0.34743795000000005,-0.4558841749999999,-0.23924577499999994,1.0
matched_secular_reflective,80,0.115365625,-0.018127675,0.25028705,-0.567937175,-0.6774021499999999,-0.45242804999999997,1.0
moral_checklist,80,0.6345215000000001,0.49648272500000007,0.7671396500000001,-0.22880672500000002,-0.35487019999999997,-0.092283125,1.0
secular_self_examination,80,0.635194375,0.520565125,0.7422055000000001,-0.16724545000000002,-0.296226325,-0.031698225000000003,0.9125
